registry_path,registry_hive
HKLM\SYSTEM\*,HKEY_LOCAL_MACHINE\System
HKLM\SECURITY\*,HKEY_LOCAL_MACHINE\Security
HKLM\SOFTWARE\*,HKEY_LOCAL_MACHINE\Software
HKLM\SAM\*,HKEY_LOCAL_MACHINE\SAM
HKLM\HARDWARE\*,HKEY_LOCAL_MACHINE\Hardware
HKLM\DRIVERS\*,HKEY_LOCAL_MACHINE\Drivers
HKLM\SCHEMA\*,HKEY_LOCAL_MACHINE\Schema
HKLM\COMPONENTS\*,HKEY_LOCAL_MACHINE\Components
HKLM\*,HKEY_LOCAL_MACHINE
HKU\.DEFAULT\*,HKEY_USERS\.DEFAULT
HKU\*,HKEY_USERS
HKCU\*,HKEY_CURRENT_USER
HKCC\*,HKEY_CURRENT_CONFIG
HKCR\*,HKEY_CLASSES_ROOT
HKPD\*,HKEY_PERFORMANCE_DATA
